"uscode","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","48511/",,46194,360891,1482711,751,,380,2117,21341,252,"D",0,0,0,90,"D",0,0,0,89,,4061,20317,82964,125,,6911,41959,171288,96,,10207,68641,279775,66,,6146,46199,186952,18,,6006,65500,269055,9,,10675,107103,432328,6
"98","485111",,5216,32435,129305,151,,72,772,3866,43,"D",0,0,0,19,"D",0,0,0,25,,1052,5038,21145,30,"D",0,0,0,25,,839,5500,23385,6,"D",0,0,0,3,,0,0,0,0,,0,0,0,0
"98","485112","H",0,0,0,16,"D",0,0,0,4,"D",0,0,0,3,"D",0,0,0,3,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,"D",0,0,0,1
"98","485113",,35578,262199,1074448,542,,285,1197,16202,185,"D",0,0,0,57,"D",0,0,0,60,,2748,13458,54362,86,,4949,30544,124352,69,,8934,58692,236995,57,,4746,34747,144029,14,,6006,65500,269055,9,"D",0,0,0,5
"98","485119","F",0,0,0,42,"D",0,0,0,20,"D",0,0,0,11,"D",0,0,0,1,"D",0,0,0,6,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","4852//",,20705,171773,730794,579,,330,4665,23298,196,"D",0,0,0,83,"D",0,0,0,96,,3826,25850,112425,125,,3136,26279,120483,43,,4637,33062,140391,32,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1
"98","48521/",,20705,171773,730794,579,,330,4665,23298,196,"D",0,0,0,83,"D",0,0,0,96,,3826,25850,112425,125,,3136,26279,120483,43,,4637,33062,140391,32,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1
"98","485210",,20705,171773,730794,579,,330,4665,23298,196,"D",0,0,0,83,"D",0,0,0,96,,3826,25850,112425,125,,3136,26279,120483,43,,4637,33062,140391,32,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1
"98","4853//",,65575,300882,1269235,7146,,6700,26154,134449,4630,,6713,23802,98739,1019,,10344,38682,159939,767,,15083,67852,280533,505,,10746,54066,222074,159,,6685,41722,179079,48,"D",0,0,0,11,,4036,15516,59805,6,"D",0,0,0,1
"98","48531/",,29114,121506,492776,3164,,3046,11388,53822,2090,,2890,10233,40201,442,,4525,16736,65730,336,,6164,26366,105984,207,,4465,20601,80846,64,,1902,10876,45569,13,,2086,9790,40819,6,,4036,15516,59805,6,,0,0,0,0
